;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30;a31;a32;a33;a34;a35;a36;a37;a38;a39;a40;a41;a42;a43;a44;a45;a46;a47;a48;a49;a50;a51;a52;a53;a54;a55;a56;a57;a58;a59;a60;a61;a62;a63;a64;a65;a66;a67;a68;a69;a70;a71;a72;a73;a74;a75;a76;a77;a78;a79;a80;a81;a82;a83;a84;a85;a86;a87;a88;a89;a90;a91;a92;a93;a94;a95;a96;a97;a98;a99;a100;a101;a102;a103;a104;a105;a106;a107;a108;a109;a110;a111;a112;a113;a114;a115;a116;a117;a118;a119;a120;a121;a122;a123;a124;a125;a126;a127;a128;a129;a130;a131;a132;a133;a134;a135;a136;a137;a138;a139;a140;a141;a142;a143;a144;a145;a146;a147;a148;a149;a150
o44;1;0;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;1;1;1;0;0;0;1;1;1;0;0;1;1;1;0;1;0;0;1;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1
o45;0;1;1;0;1;1;0;0;0;1;0;1;1;1;0;1;1;1;0;1;1;0;1;1;0;0;1;0;0;1;1;1;0;0;1;1;0;1;1;1;1;0;1;1;1;0;1;0;0;1;0;0;1;0;1;0;0;1;0;1;1;1;1;0;0;1;1;0;1;1;0;0;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;1;1;0;1;1;1;0;1;1;1;0;0;1;1;0;1;0;0;1;0;1
o46;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;1;0;1;0;0;0;1;1;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;1;0;1;1;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1;1;1;0;1;0;1;1;0;0;1;0;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;1;1
o47;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;1;1;1;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;1;0;0;1;1;0;1;1;0;1;0;0
o48;1;1;1;1;1;0;1;1;0;1;0;0;0;1;1;1;0;1;1;1;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;1;1;0;1;1;1;1;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;0;1;1;0;0;1;0;1;0;0;0;1;1;0;0;1;1
o49;0;0;0;1;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;1;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;1;1;0;0;0;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;1;1;1;1;0;0;1;0;1;1;1;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0
o50;0;1;0;1;0;1;0;0;1;1;0;1;1;0;0;1;1;1;0;1;0;1;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0;0;1;1;1;1;1;0;1;1;0;0;0
o51;1;1;1;0;0;0;1;1;1;0;1;0;1;0;0;1;0;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;1;1;1;1;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;1;1;0;0;0;1;0;0;1;1;1;0;1;1;1;0;0;1;1;0;0;1;1;1;1;0;1;0;1;1;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;1;0;0;1;1;1;1;0;1;1;0;0;1;0;1;1;1;1;0
o52;0;1;1;1;1;1;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1;0;0;1;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;1;1;0;1;0;1;0;0;1;1;0;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;1
o53;0;0;1;1;0;1;0;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;0;0;1;0;1;1;1;0;1;1;0;1;0;0;1;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;1;0;0
o54;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;1;1;1;0;1;1;1;0;1;1;1;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;1;1;0
o55;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;1;0;0;0;1;1;1;0;1;0;0;1;0;0;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;0;1;0;0;1;1;0;1;1;1;1;0;1;1
o56;0;1;0;1;1;1;0;1;0;1;1;1;1;0;1;1;0;0;1;1;0;1;0;0;1;1;1;0;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;1;0;1;1;0;0;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0
o57;0;1;1;0;1;0;0;1;1;0;0;1;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;0;0;1;1;0;1;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;0;0;1;0;1;1;0;0;0;1;0;1;1;1;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;1;1;1;0;0;1
o58;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;1;1;1;0;0;0;1;1;1;0;0;1;1;0;1;0;0;1;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0;1;1;1;1;1;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;0;1;0;0;0;0
o59;1;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;1;0;1;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1
o60;0;0;1;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;0;1;1;0;0;0;1;1;1;1;1;0;1;1;0;0;1;0;1;1;0;1;0;1;1;0;0;0;0;1;0;1;1;0;1;1;0;0;1;1;0;0;1;1;0;1;1;1;1;1;0;0;1;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;1;1;1;1;1;1
o61;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;1;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1
o62;1;0;0;1;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;1;1;0;1;1;0;0;1;1;1;0
o63;0;1;0;0;1;1;1;1;1;0;0;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;0;1;1;1;1;0;1;1;0;1;0;1;1;0;1;1;0;1;1;1;1;0;0;1;1;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;1
o64;0;1;0;0;0;1;0;1;1;0;1;1;0;1;0;1;1;0;0;0;0;1;1;0;1;1;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;0;0;1;1;1;0;1;0;0;1;1;0;1;0;1
o65;1;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;1;0
o66;1;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;1;1;0;1;1;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;0;1
o67;1;0;0;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;1;1;1;1;0;1;1;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;1;1;1;1;0;1;0;0;1;1;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0;1;0;1;0;1;1;0;0;0;1;0;1;1
o68;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;1;1;1;1;0;1;0;0;1;0;1;0;1;1;0;1;1;1;0;1;1;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;1;1;0;1;0;1;1;1;1;0;1;0;0;1;0;1;1;1;1;0;1
o69;1;0;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0;0
o70;0;0;1;0;1;0;1;1;1;0;1;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;1;1;1;0;1;0;1;0;1;1;0;0;1;1;1;0;0;1;1;0;0;1;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1
o71;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;0;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1;1;0;0;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;0;0;0;1;1
o72;0;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;0;1;1;0;1;1;0;0;1;1;1;1;0;1;0;0;1;1;0;1;1;1;0;1;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;0;1;1;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;1;0;1;0;1;0;0;1;1;1;1;1;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0
o73;1;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;1;0;1;1;0;0;1;1;0;0;0;1;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;1;0;1;1;0;1;0;1;0;1;1;0;1;0;0;0;1;0
o74;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1;0;1;1;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;0;1;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;1;1;0;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0
o75;0;1;0;0;0;0;0;1;1;0;1;0;1;1;1;0;0;1;0;1;1;0;0;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;1;0;1;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1
o76;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;1;1;1;1;1;0;0;0;1;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;1;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;0;0
o77;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0;1;1;0
o78;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;1;1;1;1;0;0;1;0;0;1;0;1;1;1;0;1;0;1;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;0;0;0;1;0;0;1;1;1;0;0;1;0;1;1;0;0;1;0;0;0;0
o79;0;1;1;0;0;0;1;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0;1;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1;0;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;0;0;1;1;0;1;1;0;1;0;0;1;1;0;1;0;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0;1;1;0;0
o80;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;0;1;1;0;0;1;0;0;1;0;1;1;1;0;1;0;1;1;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;1;1;1;0;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1
o81;1;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;1;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;1;1;0;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;1;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
o82;1;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;1;1;0;1;1;0;0;1;1;0;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;0;1;0;1;0;1;1;0;0
o83;0;1;1;0;1;0;1;0;0;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;1;1;0;0;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1
o84;1;1;0;1;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;1;0;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;1;0;1;0;0;1;1;0;1;1;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;1
o85;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;1;1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;1;0;1;1;1;0
o86;1;0;0;1;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;1;0;0;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;1;0;0;1;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;1;0;0;0;0;1;0;1;1;0
o87;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;1;0;1;1;1;0;0;0;1;0;0;1;1;1;0;1;0;1;1;1;1;0;0;1;0;0;0;1;1;0;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;1;1;1;0;1;0;0;1;0;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;1;0;1;0;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0
