;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20
o323;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;0;1
o324;0;1;1;0;0;0;1;0;1;1;0;1;1;0;1;0;0;0;1;0
o325;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
o326;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
o327;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1
o328;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0
o329;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;0
o330;0;0;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;1;0;0
o331;1;1;1;0;0;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0
o332;1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;1;0;0;0
o333;1;1;1;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1
o334;0;1;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0
o335;0;0;1;0;0;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1
o336;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;0;1;1;1
o337;0;0;1;0;0;0;1;1;1;0;0;0;1;1;1;1;0;1;0;0
o338;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
o339;1;1;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0
o340;0;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;1;1;1
o341;0;0;0;1;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;0
o342;1;0;1;1;0;1;1;1;0;1;1;0;0;1;0;1;0;1;0;1
o343;1;0;1;1;0;1;1;0;0;1;0;0;1;1;0;1;1;1;0;1
o344;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;0
o345;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1
o346;1;0;1;1;1;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0
o347;0;1;0;1;0;0;1;1;1;1;0;1;0;0;1;0;0;0;1;0
o348;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1
o349;1;1;1;1;1;0;0;0;1;0;1;1;0;1;1;1;1;1;0;0
o350;0;1;1;1;0;1;0;0;0;0;1;0;1;1;1;1;0;1;1;1
o351;0;0;1;0;0;1;0;1;0;0;1;1;0;0;1;1;1;0;1;0
o352;1;1;0;1;0;1;1;0;1;0;1;1;0;1;1;1;0;0;1;0
o353;1;0;0;1;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0
o354;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0
o355;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;1;0;0;0;1
o356;1;0;1;1;0;1;1;1;0;0;1;0;1;1;0;0;0;1;1;0
o357;0;0;1;1;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;1
o358;1;1;0;1;1;0;1;1;0;0;1;1;1;0;0;1;0;1;1;0
o359;1;0;1;1;1;0;1;0;1;1;0;0;0;0;1;0;0;1;0;1
o360;0;0;1;0;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0
o361;1;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;1;0;1;1
o362;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;1;0
o363;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1
o364;1;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0
o365;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;1;1
o366;1;1;1;1;0;1;0;1;1;1;0;0;1;0;0;1;1;0;0;1
o367;1;0;0;0;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0
o368;1;0;1;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;1;0
o369;0;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;1;0;0;1
o370;1;1;1;0;0;1;0;0;1;0;0;1;0;0;1;1;1;1;1;1
o371;1;0;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;1;1;1
o372;1;1;0;1;1;0;0;0;0;0;1;1;0;1;1;1;0;1;0;1
o373;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0
o374;1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0;1
o375;1;1;1;0;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0
o376;0;0;0;1;1;0;0;0;0;1;1;1;1;0;1;0;0;0;1;0
o377;1;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;1;0;0
o378;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;1
o379;0;0;1;0;1;0;1;1;0;0;0;0;1;1;1;1;0;0;1;1
o380;1;0;0;0;0;0;1;1;0;1;0;1;1;0;1;0;0;1;1;1
o381;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;0;1;0;1
o382;1;1;1;1;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;1
o383;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
o384;1;0;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;0;1;0
o385;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1
o386;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;1;0;1;1;0
o387;1;0;0;1;0;1;0;1;1;1;1;1;0;1;1;0;0;0;0;0
o388;1;0;1;0;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;0
o389;0;0;1;1;1;1;1;1;0;1;0;0;0;1;1;1;0;0;1;0
o390;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1
o391;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0
o392;1;0;1;1;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1
o393;0;1;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1
o394;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1
o395;0;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0
o396;1;0;1;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;1;0
o397;0;1;1;1;1;0;1;0;0;1;1;1;1;1;0;1;1;1;0;1
o398;1;1;0;0;1;0;0;1;0;0;1;0;1;1;1;0;1;1;0;1
o399;0;0;1;1;1;0;0;1;1;0;0;0;0;1;1;0;1;0;1;0
o400;1;1;1;1;0;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1
o401;1;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0
o402;1;1;0;1;1;0;1;1;1;0;1;0;0;0;1;1;1;1;0;0
o403;0;0;1;0;0;1;0;1;0;1;1;0;0;0;1;1;0;1;0;0
o404;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0
o405;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;1;1;0;1;1
o406;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0
o407;1;1;1;0;1;0;1;1;0;1;1;0;0;1;1;1;0;1;1;0
o408;1;0;0;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;0;0
o409;1;0;1;1;0;1;1;1;0;0;1;1;0;0;1;1;1;0;1;1
o410;0;1;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;0;1;0
o411;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;1;0
o412;0;1;1;0;1;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0
o413;0;1;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;1;1;0
o414;0;0;1;0;0;1;1;1;0;1;0;1;1;1;0;1;0;1;0;0
o415;0;0;1;0;0;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1
o416;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1
o417;0;0;1;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0;1;1
o418;0;1;1;0;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;1
o419;0;1;0;0;0;1;0;0;1;0;0;1;1;0;1;1;0;0;1;1
o420;1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;1;1
o421;0;1;0;1;0;0;1;1;0;0;0;0;1;1;1;1;1;0;0;1
o422;1;1;1;0;1;0;0;0;1;1;1;0;1;1;1;0;0;1;0;1
o423;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0
o424;0;0;1;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0
o425;0;1;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;1
o426;1;1;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0
o427;1;0;1;0;1;0;0;1;1;0;0;0;1;1;1;0;0;1;0;1
o428;0;1;1;1;1;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0
o429;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0
o430;0;1;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;1;0
o431;0;1;0;0;1;1;0;1;0;1;1;1;0;0;0;1;1;0;1;0
o432;1;0;0;0;1;0;1;0;1;1;1;0;0;1;0;1;0;0;1;1
o433;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;0;1;0;1;0
o434;0;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0
o435;1;1;0;1;1;1;1;1;0;0;1;0;0;0;1;1;1;1;0;1
o436;1;1;0;1;0;1;0;1;0;0;1;1;1;0;1;0;1;0;1;1
o437;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0;1;0;0;0;1
o438;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1
o439;0;1;1;0;0;1;1;0;1;0;0;1;1;1;0;0;0;1;1;1
o440;0;1;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;1;1;0
o441;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0
o442;0;1;1;0;1;1;0;1;1;0;0;0;1;1;0;1;0;1;0;0
o443;1;1;0;0;1;1;1;0;0;1;1;0;1;0;0;1;1;1;0;1
o444;1;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;1;0;1
o445;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0
o446;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;1;1
o447;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;1;1;0
o448;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;1
o449;0;0;1;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1
o450;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1
o451;0;0;1;0;1;1;0;0;1;1;0;1;1;0;0;0;1;1;0;0
o452;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;1;1
o453;0;0;0;0;1;1;0;1;1;0;0;1;0;0;1;0;1;1;1;0
o454;0;0;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;0;0;1
o455;1;1;0;0;0;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1
o456;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0
o457;1;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0
o458;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0
o459;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;1
o460;1;0;1;1;1;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0
o461;1;1;0;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;1;0
o462;0;0;1;1;0;0;1;1;1;1;0;1;0;0;0;0;1;0;0;1
o463;0;1;1;0;1;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0
o464;1;1;0;1;1;1;1;1;0;0;1;1;0;1;1;1;0;1;0;0
o465;0;0;1;0;1;1;0;0;1;1;1;1;0;1;1;0;0;0;1;0
o466;0;1;0;0;0;1;1;0;1;1;0;0;0;1;1;0;1;1;0;1
o467;0;1;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0
o468;0;1;0;0;0;1;0;1;0;1;1;1;0;0;1;1;0;0;1;1
o469;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0
o470;1;0;1;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;1
o471;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1
o472;1;0;1;0;1;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0
o473;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0
o474;1;0;0;0;1;0;1;0;0;1;0;1;0;1;1;1;0;1;1;1
o475;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;1;1;0;1;1
o476;1;1;0;0;1;1;0;1;1;0;1;0;1;0;0;1;1;1;1;0
o477;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;1;1;1
o478;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;1
o479;0;1;0;1;0;1;0;0;0;1;0;1;1;0;0;1;1;1;1;0
o480;1;1;0;0;1;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0
o481;0;0;0;1;0;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0
o482;0;0;1;0;1;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1
o483;1;0;0;1;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0
o484;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
o485;0;0;1;1;1;1;0;0;0;0;1;1;0;0;1;0;1;1;0;0
o486;0;1;0;1;1;0;0;0;1;0;0;1;0;1;1;0;1;0;1;1
o487;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;1;0
o488;0;1;0;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0
o489;0;1;0;1;1;0;1;1;0;0;1;0;0;1;0;0;1;0;1;0
o490;0;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0;1;0;0;0
o491;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0
o492;1;0;1;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0
o493;0;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;0;1
o494;0;0;0;0;1;0;1;0;1;1;1;0;0;1;1;0;0;1;0;1
o495;1;0;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;1;1;1
o496;1;1;1;0;1;1;0;0;0;1;1;0;1;0;0;1;1;1;0;0
o497;0;1;0;0;1;1;0;1;0;1;0;0;1;1;1;1;0;0;1;1
o498;1;1;1;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0;0;1
o499;0;0;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;1
o500;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1;1;0
o501;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;1;1;0;1
o502;1;0;0;1;1;0;0;0;0;1;1;0;1;1;1;0;1;1;1;0
o503;0;1;1;1;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;1
o504;0;1;1;0;0;1;1;1;1;0;0;0;1;1;1;1;1;1;0;1
o505;0;0;1;1;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;1
o506;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1
o507;1;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0
o508;0;1;1;1;1;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0
o509;1;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;1;0;1;0
o510;1;1;1;0;1;0;1;0;0;0;0;1;0;0;1;1;1;0;1;1
o511;1;1;1;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0
o512;0;0;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;0
o513;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;1;1;0
o514;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;1;0;0;1
o515;0;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0
o516;0;1;1;1;1;0;0;1;1;0;0;1;1;1;0;0;1;0;0;0
o517;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0
o518;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;1;0;1;1
o519;1;0;0;1;0;1;1;1;1;1;0;0;1;1;1;0;1;1;0;0
o520;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1
o521;1;0;0;1;1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0
o522;0;1;1;1;0;0;1;0;1;1;1;0;0;1;1;0;0;1;1;0
o523;0;1;1;0;1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1
o524;1;1;0;1;1;0;0;0;1;0;1;1;0;1;0;1;1;1;1;1
o525;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1
o526;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1
o527;1;0;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1
o528;0;0;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0
o529;1;1;1;1;0;1;0;0;1;0;1;0;1;1;1;0;0;1;0;1
o530;0;0;0;1;1;1;0;0;1;1;0;1;0;1;1;0;0;0;1;1
o531;0;1;0;1;0;1;1;1;0;1;1;0;0;1;0;0;1;0;0;0
o532;0;0;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1
o533;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0
o534;0;1;1;1;0;1;1;1;1;0;0;1;1;1;1;0;1;0;1;1
o535;1;1;0;0;1;1;0;1;1;1;1;1;1;0;0;1;0;1;0;0
o536;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1;1;1;1;1
o537;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;1;1;1;1
o538;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;1;1;1;0
o539;1;1;1;0;1;1;1;0;0;1;0;0;0;1;0;1;0;0;0;1
o540;1;1;1;0;1;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0
o541;1;1;1;0;0;1;0;0;0;0;0;1;0;1;1;1;1;1;0;0
o542;1;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1
o543;1;1;1;0;0;0;1;1;1;0;1;1;0;1;1;0;0;0;1;0
o544;1;1;0;0;1;0;0;0;1;0;0;1;1;1;1;0;0;1;1;0
o545;1;0;1;0;1;1;0;0;1;0;1;1;1;1;0;0;1;0;0;1
o546;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;0
o547;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0
o548;1;1;0;1;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;1
o549;1;1;1;0;0;1;1;1;1;1;0;1;0;0;1;0;0;1;1;0
o550;1;0;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;0;1;1
o551;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;0;0;1;0;1
o552;1;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1
o553;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1
o554;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0
o555;0;1;0;1;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0
o556;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;1
o557;1;1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;0;1
o558;1;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;1;1
o559;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0
o560;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;1;0
o561;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;1;0
o562;0;0;1;1;1;0;1;1;0;0;1;1;0;0;1;1;0;1;1;0
o563;1;1;0;0;0;1;0;1;1;1;0;1;1;1;1;0;0;0;0;1
o564;1;0;1;0;1;1;1;1;0;1;1;0;0;0;0;1;0;1;0;0
o565;1;1;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1
o566;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1
o567;1;0;1;0;0;1;0;1;1;1;1;1;1;1;0;1;0;1;0;0
o568;0;0;0;1;1;0;1;0;1;1;0;1;0;0;1;1;1;0;1;1
o569;0;1;0;1;0;1;1;0;1;0;1;0;1;1;0;1;1;0;1;1
o570;1;1;1;0;0;1;1;0;1;1;1;1;0;1;1;1;1;0;0;1
o571;0;1;0;0;1;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0
o572;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1
o573;1;0;0;1;1;0;0;0;1;0;0;1;0;1;1;1;0;0;1;1
o574;0;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0
o575;1;1;0;0;0;0;0;1;1;1;0;0;0;1;1;0;1;0;0;1
o576;1;1;1;0;1;0;1;1;1;0;1;0;0;1;1;0;1;0;0;0
o577;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;1;1;1
o578;1;1;1;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;1
o579;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;1;1;1;1;1
o580;1;0;0;0;1;0;1;1;0;0;0;0;1;1;1;0;0;1;1;0
o581;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1
o582;0;1;1;0;1;0;1;1;0;1;0;1;1;0;1;1;1;0;1;1
o583;0;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;1;1;1;0
o584;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0
o585;1;1;1;0;0;0;1;1;1;0;1;1;1;0;1;1;0;1;1;1
o586;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0
o587;1;0;0;0;1;1;1;0;1;1;0;1;0;0;1;0;1;0;0;0
o588;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;1;1
o589;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;0
o590;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;1;0
o591;1;1;1;1;1;1;1;0;0;0;1;0;1;1;0;1;1;1;1;0
o592;1;0;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;1
o593;1;0;1;1;0;0;1;0;1;0;0;0;0;1;0;1;1;1;0;0
o594;0;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;0;1;0;1
o595;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0
o596;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
o597;1;1;1;1;0;0;1;0;1;1;1;0;0;0;1;1;1;1;1;1
o598;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0
o599;0;0;0;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;1
o600;1;0;1;0;1;0;1;0;0;1;0;1;0;0;1;1;0;1;1;1
o601;1;0;0;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1
o602;1;1;0;1;1;0;1;0;1;1;1;1;0;0;0;0;1;0;0;1
o603;1;0;1;0;0;1;1;1;1;0;1;0;1;0;1;1;0;1;0;1
o604;0;1;0;1;1;1;0;0;0;0;0;1;0;0;1;1;0;1;1;1
o605;0;0;1;1;0;1;1;0;0;1;1;0;1;1;1;0;1;0;0;0
o606;0;1;1;1;0;1;0;0;0;1;0;1;0;0;0;1;1;1;0;1
o607;0;0;1;1;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0
o608;0;1;1;1;1;1;1;0;0;0;1;0;1;0;0;1;0;1;1;1
o609;0;0;1;1;0;1;1;0;0;1;1;1;0;1;0;1;1;1;0;0
o610;0;1;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;1;1;1
o611;1;1;1;1;0;0;1;1;0;0;0;1;0;1;1;0;0;1;1;1
o612;1;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;1;0;0;1
o613;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1
o614;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
o615;1;0;0;1;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0
o616;1;0;1;0;1;0;1;1;0;1;1;0;1;0;1;1;1;0;0;1
o617;0;1;0;1;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;0
o618;0;1;1;1;1;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0
o619;0;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;1;1;0;1
o620;0;0;1;1;1;0;1;0;0;1;1;0;0;1;0;1;1;1;0;0
o621;0;1;1;1;1;1;0;1;1;1;0;1;1;0;0;1;0;0;0;0
o622;1;0;0;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;1
o623;0;1;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;1;0
o624;1;1;1;0;1;0;1;0;1;1;0;1;1;1;1;1;0;0;1;0
o625;1;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;1;0;0;1
o626;1;1;1;0;1;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0
o627;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0
o628;0;1;0;0;1;0;1;0;1;1;0;1;1;0;1;1;1;1;0;0
o629;0;0;0;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;1;0
o630;0;1;0;1;1;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0
o631;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;1;0;1;0;1
o632;1;1;1;1;0;1;1;0;0;1;0;1;1;1;0;0;0;0;1;0
o633;0;0;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;1
o634;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;1;0;1
o635;1;1;1;0;1;1;1;1;0;0;1;0;1;1;0;0;1;1;0;1
o636;0;1;0;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1
o637;0;0;0;0;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1
o638;1;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;0;1;1
o639;1;0;0;1;1;0;1;0;0;0;0;0;1;1;1;0;1;1;1;0
o640;0;1;0;0;1;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0
o641;1;1;1;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0
o642;0;0;1;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0
o643;1;0;0;1;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0
o644;1;0;0;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1
o645;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;1;1
o646;0;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;0;0;1;0
